order_id,amount,customer,date
ORD-2024-0001,5000.00,Priya Sharma,2024-07-01
ORD-2024-0002,10000.00,Rahul Verma,2024-07-02
ORD-2024-0003,2500.00,Amit Patel,2024-07-03
ORD-2024-0004,15000.00,Sneha Gupta,2024-07-04
ORD-2024-0005,2000.00,Vikram Singh,2024-07-05
ORD-2024-0006,8000.00,Ananya Iyer,2024-07-06
ORD-2024-0007,5000.00,Kavita Nair,2024-07-08
ORD-2024-0008,4000.00,Rohan Mehta,2024-07-09
ORD-2024-0009,10000.00,Deepak Reddy,2024-07-10
ORD-2024-0010,12000.00,Neha Joshi,2024-07-11
ORD-2024-0011,18000.00,Siddharth Rao,2024-07-12
ORD-2024-0012,22000.00,Kavya Menon,2024-07-13
ORD-2024-0013,5500.00,Aarav Kapoor,2024-07-14
